0.11,0.0,0.12,0.42,0.08,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.58,5.0,7.0,0.0,0.0,0.0,1.1292789153206104,372.92,0.12729002666666667,0.68,22.86,2.49,0.41,1.7,0.73,0.5,51.79,0.25,1,18944,520630624,10428,331720,8354,32,35386,6431,0,0,0,23.6,6382.0,1.0,3041.0,16.27,30.75,48.04,0.07372322679623318,1.28,big_data
0.23,0.0,0.17,0.16,0.08,0.08,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.33,0.0,0.0,0.0,42797.37,33.05,995.0,475.2,1.4,0.0,0.0,1.1401986795061725,1105.34,0.3772893866666666,0.852,19.53,2.46,0.19,1.64,0.5,0.42,39.71,0.63,0,18944,520363200,11252,553436,991,26,36291,6416,3,0,0,28.8,6443.8,0.0,3039.0,15.13,30.27,47.79,0.07379602787601879,1.3824,big_data
0.75,0.0,0.27,0.2,0.09,0.07,0.0,0.0,0.0,1.0,0.4,0.0,0.05,0.0,96.92,4.0,130.0,0.0,0.5,0.0,0.0,1.35,0.97,4.4,6.2,0.0,0.0,0.0,1.147903626295068,2787.44,0.9514461866666668,0.894,28.52,3.69,0.46,1.62,0.35,0.31,31.36,1.03,0,18944,519923168,11496,797436,4592,88,38731,13663,0,1,2,53.4,13883.4,4.0,3153.0,14.08,29.8,47.55,0.07374749382282839,1.3824,big_data
3.06,0.0,0.23,0.05,0.08,0.09,0.0,0.0,33.2,1.2,0.4,0.0,0.02,0.0,92.59,4.0,54.0,0.17,0.0,0.0,0.0,1.54,2.96,12.6,16.8,0.0,0.0,0.0,1.1857944953000166,6472.38,2.2092390400000004,1.114,21.57,1.91,0.29,1.32,0.28,0.31,28.43,1.27,1,18944,519077600,11700,814168,2274,67,46206,35461,0,3,20,111.4,35536.8,5.0,3387.0,13.27,29.37,47.31,0.07648966782808655,1.4336,big_data
5.07,0.0,0.39,0.07,0.12,0.06,0.0,0.0,31.07,0.4,105.8,0.0,25.65,0.0,8.95,4.0,248.29,4.0,6.05,6.88,0.64,3.05,5.09,24.0,26.8,0.0,0.0,0.0,1.3488001433323304,10405.18,3.5516347733333333,1.065,23.39,2.03,0.34,1.31,0.27,0.29,27.43,1.98,0,18944,517045024,11772,837192,1627,26296,62276,66380,0,6,10,309.8,67084.0,9.0,4192.0,12.45,28.93,47.07,0.08219241907795978,1.4336,big_data
5.71,0.0,0.6,0.11,0.11,0.1,0.0,0.0,41.81000000000001,0.6,256.6,0.0,57.7,0.0,8.81,4.0,230.28,7.0,5.25,15.36,1.32,5.44,8.66,42.6,46.8,0.0,0.0,0.0,1.74076978726742,11803.48,4.028921173333333,1.081,19.64,1.94,0.35,1.43,0.26,0.28,27.21,1.51,0,18944,514299776,11876,855240,2,59108,64588,74584,0,7,3,338.2,73921.2,0.0,4754.0,11.85,28.53,46.85,0.10582850298168957,1.536,big_data
7.18,0.0,1.33,2.09,0.19,0.11,0.0,0.0,0.0,0.8,360.0,0.0,89.92,0.0,4.86,4.0,255.78,2.75,6.4,24.72,2.3,230358.02,255.58,6813.4,3630.8,7.55,0.0,0.0,2.2501659440972825,17795.379999999994,6.074156373333333,0.935,27.71,3.24,0.4,1.42,0.35,0.32,32.16,1.87,13,18944,510160640,12020,2044468,4,90023,174810,274662,0,9,14,306.4,275453.4,13.0,5232.0,11.14,28.11,46.61,0.11538971146020036,1.7408,big_data
32.54,0.0,2.19,6.09,0.3,0.1,0.0,0.0,39.14764044943822,507.4,751.6,120.27,186.69,0.0,2.08,242.72,254.35,89.34,5.99,74.48,12.4,53173.62,76.69,1756.0,948.2,1.74,0.0,0.0,2.8073855425491505,64980.12,22.17988096,1.071,36.64,2.56,0.27,1.14,0.43,0.46,37.86,2.54,19,18944,500201728,12356,4423740,132274,193287,118250,244327,0,35,68,69.4,244745.6,177.0,5413.0,16.74,28.99,46.8,0.12740188962482693,1.7919999999999998,big_data
85.95,0.0,8.59,0.17,0.45,0.16,0.0,0.0,95.15679687500004,858.28,1.0,214.07,0.16,0.0,97.56,255.4,164.0,37.41,1.2,47.03,7.03,0.47,7.32,4.6,6.2,0.0,0.0,0.0,4.403964703882903,139660.78,47.67087957333334,0.773,48.19,3.15,0.16,0.8,0.91,0.71,50.5,5.04,0,18944,473074880,12372,5469916,208450,173,47406,295082,0,95,215,10.6,293658.2,286.0,5411.0,28.05,31.13,47.39,0.13135741495984535,1.7919999999999998,big_data
90.45,0.0,8.01,0.05,0.39,0.11,0.0,0.0,98.95320312500004,587.0,0.0,146.71,0.0,0.0,0.0,255.92,0.0,5.62,0.0,32.16,2.76,0.73,9.18,8.2,12.4,0.0,0.0,0.0,9.373231542408352,133922.08000000002,45.71206997333334,0.708,48.49,3.45,0.11,0.8,1.04,0.74,55.54,4.45,0,18944,446279616,12380,6222512,150395,6,38508,215666,0,99,195,19.0,216008.4,136.0,5405.0,37.18,32.97,47.9,0.13135741495984535,1.7919999999999998,big_data
90.74,0.0,8.21,0.01,0.43,0.12,0.0,0.0,99.49750000000002,593.6,0.4,147.82,0.03,0.0,93.1,255.0,68.0,5.47,1.0,32.16,2.68,0.82,13.56,8.4,10.8,0.0,0.0,0.0,14.503555425025208,125415.28,42.80841557333333,0.713,47.1,3.21,0.09,0.81,1.04,0.74,57.14,4.42,0,18944,426779360,12388,6979540,151763,64,37914,239453,0,100,464,11.0,242353.4,465.0,5395.0,58.38,37.44,49.27,0.1311147446938933,1.8432,big_data
97.28,0.0,2.38,0.0,0.28,0.06,0.0,0.0,100.00125000000004,190.4,6.0,47.36,0.27,0.0,90.77,254.72,45.6,3.68,0.8,10.4,0.53,0.43,6.13,4.2,5.8,0.0,0.0,0.0,17.69588198951249,71275.64,24.328751786666665,0.8320000000000001,38.24,1.78,0.02,0.44,0.88,0.73,57.16,0.93,0,18944,419475424,12404,7238140,50957,287,36037,312663,0,100,910,12.8,315663.8,928.0,5395.0,98.39,46.08,52.0,0.13092060848113166,1.8688,big_data
