CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
44.4,0,24.33,0,1.3,3.34,0,0,73.37,0,0,1.8,0,0.03,0,0,0,17.33,0,8.11,1.44,0.01,54181.22,65160.95,374048.8,374047.4,5.34,0,0,157286400,130306233,130229260,1048576,0,13.7,0.341454682,4.024457213,17.25151043,0.346942244,0.759710641,1,0.341454682,0,126976,27,1138827,1051942,0,73,180,0.2,1052076.6,89,1590,137.9,118.31,9.375
44.28,0,25.15,0,1.3,3.29,0,0,74.02,0,0,0,0,0,0,0,0,0,0,0,0,0,54005.61,64961.63,372890.8,372887.2,5.32,0,0,157286400,126753021,126662282,1048576,0,13.76,0.334329007,4.017903872,17.24209105,0.343501845,0.755024933,1,0.334329007,0,126976,16,1131431,1057201,0,75,53,0,1056975.6,173,1599,131.24,117.55,8.984375
44.37,0,24.06,0,1.32,3.35,0,0,73.1,0,0,0,0,0,0,0,0,0,0,0,0,0,54917.59,66039.62,379133.2,379131,5.41,0,0,157286400,127373791,127334321,1048576,0,13.52,0.339028529,4.007619766,17.19451613,0.346232242,0.76064822,1,0.339028529,0,126976,708,1133875,1053950,0,72,152,0.4,1053824.2,83,1601,134.82,118.52,8.7890625
44.29,0,25.31,0,1.3,3.3,0,0,74.2,0,0,0.4,0,0.01,0,0,0,16,0,0.5,0,0,53653.7,64570.97,370391.62,370388.02,5.29,0,0,157286400,129117871,129047828,1048576,0,13.68,0.335836212,4.01590284,17.22479331,0.343836105,0.757231576,1,0.335836212,0,126976,4,1128780,1054736,0,74,147,0,1054552.8,163,1606,136.94,119.49,8.7890625
44.09,0,24.75,0,1.3,3.33,0,0,73.47,0,0,0,0,0,0,0,0,0,0,0,0,0,53719.11,64592.05,370861.2,370861,5.29,0,0,157286400,130169726,130154846,1048576,0,13.69,0.336372751,4.017138123,17.23079625,0.344188355,0.755773054,1,0.336372751,0,126976,4,1131179,1057923,0,74,221,0,1057767.8,172,1606,141.93,121.07,8.7890625
44.55,0,25.1,0,1.31,3.31,0,0,74.27,0,0,0,0,0,0,0,0,0,0,0,0,0,53891.66,64892.17,372017.8,372017.6,5.32,0,0,157286400,128575736,128541744,1048576,0,13.84,0.336059392,4.019150714,17.23461063,0.344141376,0.755063562,1,0.336059392,0,126976,0,1137267,1057745,0,74,181,0,1057554.8,194,1611,143.82,122.19,8.59375
44.68,0,25.14,0,1.31,3.31,0,0,74.44,0,0,0.4,0,0.01,0,0,0,32.5,0,8,0.32,0,53493.74,64287.71,369336.6,369336.8,5.27,0,0,157286400,127450365,127373980,1048576,0,13.73,0.335679672,4.012436352,17.20767669,0.343578388,0.755710785,1,0.335679672,0,126976,135,1129483,1056595,0,74,129,0,1056439.8,217,1611,138.03,121.7,8.203125
44.7,0,24.8,0,1.31,3.33,0,0,74.14,0,0,0.2,0,0,0,0,0,16,0,1,0,0,53582.21,64410.18,369918.6,369915.8,5.28,0,0,157286400,129323667,129265258,1048576,0,13.83,0.335653624,4.016868267,17.22422934,0.344099302,0.756276081,1,0.335653624,0,126976,0,1134728,1057100,0,74,104,0.4,1056989,213,1610,143.95,123.2,8.0078125
44.29,0,25.77,0,1.31,3.31,0,0,74.68,0,0,0,0,0,0,0,0,0,0,0,0,0,53471.62,64224.25,369208.4,369206.4,5.26,0,0,157286400,128899071,128832229,1048576,0,13.85,0.33421913,4.018509896,17.23451427,0.343607197,0.754613732,1,0.33421913,0,126976,0,1133064,1059495,0,74,160,0.2,1059277.4,120,1612,146.63,124.49,8.0078125
44.38,0,24.89,0,1.31,3.32,0,0,73.9,0,0,0,0,0,0,0,0,0,0,0,0,0,53523.38,64276.33,369554,369555.2,5.27,0,0,157286400,128864114,128791113,1048576,0,13.76,0.334682401,4.016288291,17.2308933,0.344187995,0.754262398,1,0.334682401,0,126976,1666,1131546,1056150,0,74,85,0.2,1056092.2,204,1607,149.72,125.83,8.0078125
44.74,0,25.08,0,1.31,3.31,0,0,74.44,0,0,0.4,0,0.01,0,0,0,16,0,0.5,0,0,53446.28,64209.25,369035.6,369035.4,5.26,0,0,157286400,127890505,127877204,1048576,0,13.77,0.335105783,4.016790824,17.2340234,0.3440614,0.753158601,1,0.335105783,0,126976,9,1131818,1054318,0,74,212,0.4,1054148.2,194,1613,156.12,128.02,7.8125
44.49,0,25.04,0,1.31,3.32,0,0,74.16,0,0,0,0,0,0,0,0,0,0,0,0,0,53644.88,64538.87,370385.4,370382.6,5.29,0,0,157286400,128228949,128159160,1048576,0,13.77,0.334076531,4.015071539,17.21950735,0.343589403,0.755258672,1,0.334076531,0,126976,0,1131259,1057697,0,74,116,0.4,1057621.4,106,1613,148.37,127.28,7.6171875
44.08,0,25.97,0,1.31,3.29,0,0,74.65,0,0,0,0,0,0,0,0,0,0,0,0,0,53233.75,63890.29,367602.8,367600.6,5.23,0,0,157286400,129144282,129047919,1048576,0,13.84,0.334118213,4.015629053,17.21795342,0.343501085,0.755065218,1,0.334118213,0,126976,9,1134669,1059717,0,74,117,0,1059572.6,206,1614,150.91,128.15,7.6171875
44.5,0,25.23,0,1.31,3.3,0,0,74.34,0,0,6.2,0,0.18,0,0,0,29.1,0,7.48,4.64,0.04,53361.51,64087.68,368436.4,368434,5.25,0,0,157286400,127511894,127457816,1048576,0,13.9,0.333316614,4.015708354,17.22982868,0.342927255,0.756421799,1,0.333316614,0,126976,20,1130943,1057119,0,74,99,0,1056855.2,109,1618,148.33,128.36,7.421875
45.21,0,24.76,0,1.3,3.34,0,0,74.61,0,0,0.2,0,0,0,0,0,16,0,1,0,0,53841.24,64734.77,371711.4,371708.4,5.3,0,0,157286400,127000940,126922740,1048576,0,13.92,0.334255815,4.016956155,17.23198911,0.34391551,0.756012447,1,0.334255815,0,126976,0,1140275,1063340,0,74,129,0.6,1063198.4,146,1617,156.31,130.73,7.421875
45.41,0,24.84,0,1.32,3.34,0,0,74.91,0,0,0,0,0,0,0,0,0,0,0,0,0,54020.04,65019.51,372911,372910.4,5.33,0,0,157286400,127112528,127039365,1048576,0,13.87,0.334123021,4.017803815,17.24280085,0.343389092,0.756014727,1,0.334123021,0,126976,7,1134786,1060342,0,74,224,0.6,1060170.2,68,1614,141.89,128.49,7.6171875
44.54,0,25.24,0,1.3,3.33,0,0,74.41,0,0,0,0,0,0,0,0,0,0,0,0,0,53923.09,64822.14,372308,372305.4,5.31,0,0,157286400,126536676,126467380,1048576,0,13.78,0.336279545,4.011950494,17.20493988,0.344189821,0.758595473,1,0.336279545,0,126976,0,1137364,1058248,0,74,215,0,1058139.8,207,1616,140.7,128.46,7.421875
43.75,0,25.61,0,1.3,3.29,0,0,73.95,0,0,0,0,0,0,0,0,0,0,0,0,0,53392.31,64186.25,368617,368612.6,5.26,0,0,157286400,128156629,128093605,1048576,0,13.55,0.336093274,4.008025208,17.19854004,0.344774696,0.756197431,1,0.336093274,0,126976,0,1129381,1055367,0,74,97,0,1055084.8,125,1617,141.99,129.22,7.6171875
44.11,0,25.29,0,1.31,3.3,0,0,74.01,0,0,0,0,0,0,0,0,0,0,0,0,0,53404.07,64247.56,368690.4,368688.2,5.26,0,0,157286400,126728945,126647292,1048576,0,13.69,0.339621726,4.015863006,17.22614714,0.346394807,0.759122711,1,0.339621726,0,126976,0,1135924,1054905,0,74,174,0.2,1054700,103,1619,146.67,130.59,7.421875
